End_Date,ISBN,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher_Group,Product_Class,Category
2012-09-01,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201235,631,3468.18,5.4963,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-09-08,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201236,627,3382.81,5.3952,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-09-08,9780722532935,The Alchemist,"Coelho, Paulo",201236,431,2892.27,6.7106,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-09-15,9780722532935,The Alchemist,"Coelho, Paulo",201237,409,2901.73,7.0947,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-09-15,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201237,657,3589.17,5.463,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-09-22,9780722532935,The Alchemist,"Coelho, Paulo",201238,371,2586.56,6.9719,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-09-22,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201238,632,3395.44,5.3725,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-09-29,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201239,635,3472.2,5.468,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-09-29,9780722532935,The Alchemist,"Coelho, Paulo",201239,441,3054.11,6.9254,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-10-06,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201240,655,3631.25,5.5439,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-10-06,9780722532935,The Alchemist,"Coelho, Paulo",201240,442,3108.75,7.0334,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-10-13,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201241,647,3596.34,5.5585,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-10-13,9780722532935,The Alchemist,"Coelho, Paulo",201241,401,2759.35,6.8812,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-10-20,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201242,578,3169.0,5.4827,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-10-20,9780722532935,The Alchemist,"Coelho, Paulo",201242,406,2809.7,6.9204,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-10-27,9780722532935,The Alchemist,"Coelho, Paulo",201243,375,2556.02,6.8161,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-10-27,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201243,656,3498.42,5.333,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-11-03,9780722532935,The Alchemist,"Coelho, Paulo",201244,413,2928.44,7.0907,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-11-03,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201244,773,4133.09,5.3468,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-11-10,9780722532935,The Alchemist,"Coelho, Paulo",201245,353,2448.16,6.9353,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-11-10,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201245,821,4282.78,5.2165,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-11-17,9780722532935,The Alchemist,"Coelho, Paulo",201246,391,2672.98,6.8363,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-11-17,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201246,937,4890.12,5.2189,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-11-24,9780722532935,The Alchemist,"Coelho, Paulo",201247,415,2811.7,6.7752,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-11-24,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201247,1106,5726.77,5.1779,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-12-01,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201248,1312,6844.32,5.2167,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-12-01,9780722532935,The Alchemist,"Coelho, Paulo",201248,471,3193.77,6.7808,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-12-08,9780722532935,The Alchemist,"Coelho, Paulo",201249,641,4332.39,6.7588,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-12-08,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201249,1608,8491.51,5.2808,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-12-15,9780722532935,The Alchemist,"Coelho, Paulo",201250,950,6357.15,6.6917,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-12-15,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201250,1731,9206.55,5.3186,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-12-22,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201251,1833,10578.8,5.7713,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-12-22,9780722532935,The Alchemist,"Coelho, Paulo",201251,1258,8989.51,7.1459,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-12-29,9780722532935,The Alchemist,"Coelho, Paulo",201252,743,5509.93,7.4158,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-12-29,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201252,624,3697.32,5.9252,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
